"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"2817",2,3,184,57,"Alouatta_nigerrima",0.33,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2818",2,3,183,58,"Alouatta_sara",2.06,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2819",2,3,182,59,"Alouatta_caraya",3.4,0,"ABE","BE","BCE","ABE -> BE","allopatry","BE -> BCE","dispersal","2.83","","","d"
"2820",2,3,186,60,"Alouatta_belzebul",3.38,0,"DE","D","D","DE -> D","allopatry","–","–","–","","",""
"2821",2,3,186,61,"Alouatta_guariba",3.38,0,"DE","E","CE","DE -> E","allopatry","E -> CE","dispersal","1.54","","","d"
"2822",2,3,187,62,"Alouatta_palliata",2.83,0,"F","F","FG","F -> F","in_situ_speciation","F -> FG","dispersal","1.09","","","d"
"2823",2,3,187,63,"Alouatta_pigra",2.83,0,"F","F","F","F -> F","in_situ_speciation","–","–","–","","",""
"2824",2,3,188,64,"Paralouatta_varonai",6.91,1.26,"BJ","BJ","J","BJ -> BJ","subset_sympatry","BJ -> J","extinction","4.96","","","e"
"2825",2,3,188,65,"Cartelles_coimbrafilhoi",6.91,0.02,"BJ","B","B","BJ -> B","subset_sympatry","–","–","–","","",""
"2826",2,3,178,66,"Stirtonia_victoriae",17.98,12.5,"AF","A","A","AF -> A","allopatry","–","–","–","","",""
"2827",2,3,177,67,"Stirtonia_tatacoensis",21.16,12.5,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2828",2,3,194,68,"Ateles_belzebuth",1.15,0,"ADG","AD","AD","ADG -> AD","allopatry","–","–","–","","",""
"2829",2,3,194,69,"Ateles_geoffroyi",1.15,0,"ADG","G","FG","ADG -> G","allopatry","G -> FG","dispersal","0.64","","","d"
"2830",2,3,193,70,"Ateles_hybridus",1.78,0,"ADG","A","AH","ADG -> A","subset_sympatry","A -> AH","dispersal","0.99","","","d"
"2831",2,3,192,71,"Ateles_fusciceps",2.05,0,"ADG","G","G","ADG -> G","subset_sympatry","–","–","–","","",""
"2832",2,3,195,72,"Ateles_chamek",0.73,0,"AD","A","A","AD -> A","subset_sympatry","–","–","–","","",""
"2833",2,3,195,73,"Ateles_paniscus",0.73,0,"AD","AD","D","AD -> AD","subset_sympatry","AD -> D","extinction","0.28","","","e"
"2834",2,3,198,74,"Lagothrix_cana",0.91,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2835",2,3,198,75,"Lagothrix_lagotricha",0.91,0,"A","A","A","A -> A","in_situ_speciation","–","–","–","","",""
"2836",2,3,197,76,"Caipora_bambuiorum",0.97,0.02,"AB","B","B","AB -> B","allopatry","–","–","–","","",""
