"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","minimumElevationInMeters","maximumElevationInMeters","county","verbatimLongitude","verbatimLatitude","preparationType","individualCount","coordinatePrecision","geoFlag","scientificNameAuthorship","previousCatalogNumber","typeStatus","relationshipType"
"22","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","398507","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"R. Thorington","2079","South America","Colombia","Meta","San Martin, 30 km E Meta, Monte Pintadito, Haciendo Barbas",NA,NA,NA,NA,"1965","3","20",NA,NA,NA,NA,NA,"Skin; Skull; Skeleton","1",NA,NA,NA,NA,NA,NA
"23","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406440","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","No Number","South America","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skull","1",NA,NA,NA,NA,NA,NA
"24","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406610","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19187","South America","Venezuela","Amazonas","Tamatama, Rio Orinoco","-65.82","3.17",NA,NA,"1967","5","18","135.0",NA,NA,"065 49 -- W","03 10 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"25","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406599","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","25189","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","6","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"26","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406600","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","25738","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.27","5.13",NA,NA,"1967","7","10","155.0",NA,NA,"06616--W","0508--N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"27","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406601","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","25742","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.27","5.13",NA,NA,"1967","7","10","155.0",NA,NA,"06616--W","0508--N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"28","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406603","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","26029","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","11","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"29","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406604","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","26585","South America","Venezuela","Amazonas","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","14","155.0",NA,NA,"066 13 -- W","05 18 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"30","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406611","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19257","South America","Venezuela","Amazonas","Tamatama, Rio Orinoco","-65.82","3.17",NA,NA,"1967","5","20","135.0",NA,NA,"065 49 -- W","03 10 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
"31","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406612","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Atelidae","Alouatta","seniculus",NA,"Alouatta seniculus",NA,"Smithsonian Venezuelan Project","19258","South America","Venezuela","Amazonas","Tamatama, Rio Orinoco","-65.82","3.17",NA,NA,"1967","5","20","135.0",NA,NA,"065 49 -- W","03 10 -- N","Skin; Skull","1",NA,NA,NA,NA,NA,NA
