"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","stateProvince","preparationType","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","previousCatalogNumber","typeStatus","county"
"60","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","495191","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","19805","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","3","Amazonas","Fluid","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"61","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","495193","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","25691","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","10","Amazonas","Fluid","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"62","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","495194","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","41826","South America","Venezuela","El Rosario, 51 Km WNW Encontrados","-72.7","9.18",NA,NA,"1968","3",NA,"Zulia","Fluid","1","072 42 -- W","09 11 -- N","50.0",NA,NA,NA,NA,NA
"63","2021-01-12 10:13:59-03","MCZ","HU-ZOO","39571","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","[no agent data]","Oliver P. Pearson, G. P. Gardner, Jr.","575","South America","Peru","Puerto Maldonado, altitude 600 [feet]","-69.199256","-12.594315",NA,"sex: female","1915","01","01",NA,"skull (dry)","1",NA,NA,NA,NA,NA,NA,NA,NA
"64","2021-01-12 10:14:26-03","MCZ","HU-ZOO","40980","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","[no agent data]","Oliver P. Pearson, G. P. Gardner, Jr.","649","South America","Peru","Urubamba River","-73.269036","-13.318266",NA,"ear from notch: 32mm; hind foot with claw: 86mm; sex: female; tail length: 383mm; total length: 725mm","1940","04","27",NA,"skull (dry)","1",NA,NA,NA,NA,NA,NA,NA,NA
"65","2018-06-13 11:14:58-03","MCZ","HU-ZOO","41566","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","[no agent data]","William Clarke-Macintyre","141","South America","Ecuador","Rio Pucuno, Napo watershed [VERBATIM ELEVATION:600]",NA,NA,NA,"sex: female","1939","02","01","Oriente","skull (dry); skin (dry)","1",NA,NA,NA,NA,NA,NA,NA,NA
"66","2021-03-17 17:36:34-03","MCZ","HU-ZOO","BOM-5071","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","[no agent data]","Edward Gerrard, Jr.",NA,"South America","Peru","eastern Peru","-73.84668","-8.525385",NA,"sex: unknown","1810","01","01",NA,"skull (dry)","1",NA,NA,NA,NA,NA,NA,NA,NA
"67","2021-05-12 13:41:28-03","MCZ","HU-ZOO","BOM-8472","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","[no agent data]","Robert Tracy Jackson",NA,"South America","Bolivia",NA,"-65","-17",NA,"sex: unknown","1861","01","01",NA,"skull (dry)","1",NA,NA,NA,NA,NA,NA,NA,NA
"68","2021-03-30 12:26:26-03","MCZ","HU-ZOO","32492","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus boliviensis","[no agent data]","José Steinbach",NA,"South America","Bolivia","Buenavista","-63.664527","-17.459399",NA,"sex: female","1921","02","27","Santa Cruz","skin (dry)","1",NA,NA,NA,NA,"boliviensis",NA,NA,NA
"69","2021-03-01 16:13:27-03","MCZ","HU-ZOO","20099","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus griseimembra","[no agent data]","Brother Niceforo Maria",NA,"South America","Colombia","Santa Rosa, Tolima","-75.308056","4.372778",NA,"sex: unknown","1922","08","01",NA,"skull (dry); skin (dry)","1",NA,NA,NA,NA,"griseimembra",NA,NA,NA
"70","2021-03-01 16:12:37-03","MCZ","HU-ZOO","27214","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus griseimembra","[no agent data]","Brother Niceforo Maria",NA,"South America","Colombia","Valle de Tensa","-73.420767","5.076644",NA,"sex: female","1928","05","01",NA,"skull (dry); skin (dry)","1",NA,NA,NA,NA,"griseimembra",NA,NA,NA
"71","2021-03-05 11:12:58-03","MCZ","HU-ZOO","6216","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus gularis","[no agent data]","Henry Augustus Ward",NA,"South America","Ecuador","[no specific locality data]","-78.400879","-1.648616",NA,"sex: unknown","1834","01","01",NA,"skin (mounted)","1",NA,NA,NA,NA,"gularis",NA,NA,NA
"72","2021-03-05 10:21:26-03","MCZ","HU-ZOO","30560","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus infulatus","[no agent data]","Alfonso M. Olalla","7240","South America","Brazil","Belem, Bosque","-48.456538","-1.430417",NA,"sex: male","1933","11","26","Para","skull (dry); skin (dry)","1",NA,NA,NA,NA,"infulatus",NA,NA,NA
"73","2021-03-05 10:21:26-03","MCZ","HU-ZOO","30561","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus infulatus","[no agent data]","Alfonso M. Olalla","6615","South America","Brazil","Rio Tapajos, Caxiricatuba","-55.13333333","-2.83333333",NA,"sex: male","1932","08","16","Para","skin (dry)","1",NA,NA,NA,NA,"infulatus",NA,NA,NA
"74","2021-03-05 10:20:57-03","MCZ","HU-ZOO","30562","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus infulatus","[no agent data]","Alfonso M. Olalla","6625","South America","Brazil","Rio Tapajos, Caxiricatuba","-55.13333333","-2.83333333",NA,"sex: female","1932","08","21","Para","skull (dry); skin (dry)","1",NA,NA,NA,NA,"infulatus",NA,NA,NA
"75","2021-03-01 16:13:27-03","MCZ","HU-ZOO","BANGS-8042","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus infulatus","[no agent data]","Wilmot W. Brown, Jr.",NA,"South America","Colombia","Santa Marta Mountains","-73.6925","10.8284",NA,"ear from notch: 27mm; hind foot with claw: 82mm; sex: female; tail length: 365mm; total length: 655mm","1898","01","12",NA,"skull (dry); skin (dry)","1",NA,NA,NA,NA,"infulatus",NA,NA,NA
"76","2021-03-01 16:12:37-03","MCZ","HU-ZOO","BANGS-8043","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus infulatus","[no agent data]","Wilmot W. Brown, Jr.",NA,"South America","Colombia","Santa Marta Mountains","-73.6925","10.8284",NA,"ear from notch: 27mm; hind foot with claw: 82mm; sex: male; tail length: 370mm; total length: 660mm",NA,NA,NA,NA,"skull (dry); skin (dry)","1",NA,NA,NA,NA,"infulatus",NA,NA,NA
"77","2021-05-27 14:24:20-03","MCZ","HU-ZOO","17036","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus lemurinus","[no agent data]","Gladwyn Kingsley Noble",NA,"South America","Peru","Perico","-78.797163","-5.338781",NA,"sex: female","1916","09","14","Cajamarca","skull (dry); skin (dry)","1",NA,NA,NA,NA,"lemurinus",NA,NA,NA
"78","2021-03-17 17:36:33-03","MCZ","HU-ZOO","BOM-5056","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus infulatus","[no agent data]","Edward Gerrard, Jr.",NA,"South America","Colombia","Bogota","-74.0833","4.6333",NA,NA,"1810","01","01","Bogota, District Capital","skull (dry)","1",NA,NA,NA,NA,"infulatus",NA,NA,NA
"79","2021-02-16 14:14:26-03","MCZ","HU-ZOO","52608","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus","[no agent data]","Olalla, R. C. and Sons","338","South America","Ecuador","Lagarto Yaco","-78.474417","-0.042392",NA,"sex: male","1929","10","05","Oriente","skull (dry); skin (dry)","1",NA,NA,NA,NA,NA,NA,NA,NA
"80","2015-02-23 14:57:15-03","NHMLondon","NHM-LONDON-ZOO","1903.9.1.8","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1902","01","01",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4074519",NA,NA
"81","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1903.7.7.14","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"female",NA,"1902","09","28",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4074460","holotype",NA
"82","2015-02-23 14:57:15-03","NHMLondon","NHM-LONDON-ZOO","1903.9.1.8","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1902","01","01",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4074520",NA,NA
"83","2015-02-23 14:57:15-03","NHMLondon","NHM-LONDON-ZOO","1872.1.29.1","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4072901",NA,NA
"84","2015-02-23 14:57:15-03","NHMLondon","NHM-LONDON-ZOO","1872.1.29.1","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4072902",NA,NA
"85","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1903.7.7.14","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"female",NA,"1902","09","28",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4074461","holotype",NA
"86","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1920.7.14.11","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1916","07","13",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4077445",NA,NA
"87","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1920.7.14.11","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1916","07","13",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4077447",NA,NA
"88","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1920.7.14.11","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1916","07","13",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4077446",NA,NA
"89","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1925.12.11.10","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"female",NA,"1925","02","10",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078119",NA,NA
"90","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1925.12.11.10","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"female",NA,"1925","02","10",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078118",NA,NA
"91","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1925.12.11.9","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1925","01","28",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078115",NA,NA
"92","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1925.12.11.9","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1925","01","28",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078114",NA,NA
"93","2015-02-23 14:57:15-03","NHMLondon","NHM-LONDON-ZOO","1926.5.5.19","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1925","10","12",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078213",NA,NA
"94","2015-02-23 14:57:15-03","NHMLondon","NHM-LONDON-ZOO","1926.5.5.19","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1925","10","12",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078212",NA,NA
"95","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1926.5.5.20","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"female",NA,"1925","11","04",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078216",NA,NA
"96","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1926.5.5.20","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"female",NA,"1925","11","04",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078217",NA,NA
"97","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1927.3.6.10","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"female",NA,"1926","07","28",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078762",NA,NA
"98","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1927.3.6.9","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1926","07","29",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078758",NA,NA
"99","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1927.3.6.9","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1926","07","29",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078759",NA,NA
"100","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1927.8.11.22","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1925","05","13",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078912",NA,NA
"101","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1927.8.11.22","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1925","05","13",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078911",NA,NA
"102","2016-08-23 09:42:09-03","NHMLondon","NHM-LONDON-ZOO","1927.8.11.22","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1925","05","13",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4078910",NA,NA
"103","2016-08-23 11:31:17-03","NHMLondon","NHM-LONDON-ZOO","1970,344","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"indeterminate","<a href=http://www.nhm.ac.uk/services/media-store/asset/acc0f9c61174ec3c7fe8d6c9d43a33d8cfcedc3f/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4085617",NA,NA
"104","2015-02-23 14:57:15-03","NHMLondon","NHM-LONDON-ZOO","1903.9.1.8","S","Animalia","Chordata","Mammalia","Primates",NA,"Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Brasil",NA,NA,NA,"male",NA,"1902","01","01",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4074518",NA,NA
"105","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4991","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Colombia","Puerto Rastrojo Río Miritipaná","-70.5","-1",NA,"Observaciones sobre los primates del bajo río Mirití-Paraná, Amazonas, Colombia DEFLER, Thomas R.",NA,NA,NA,"Amazonas",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Mirití Paraná"
"106","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63862","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Venezuela","Cerro Morrocoy Río Manapiare","-66.1","5.3",NA,"Mammals of the Neotropics EISENBERG, John F.",NA,NA,NA,"Territorio Federal Amazonas",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Atures"
"107","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63866","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Venezuela","Samariapo Río Orinoco","-67.795","5.24388888888889",NA,"Mammals of the Neotropics EISENBERG, John F.",NA,NA,NA,"Territorio Federal Amazonas",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Atures"
"108","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63867","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Venezuela","Jabromabibeiteri","-65.0333333333333","1.72083333333333",NA,"Mammals of the Neotropics EISENBERG, John F.",NA,NA,NA,"Territorio Federal Amazonas",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"109","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63863","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Venezuela","Esmeralda Río Orinoco","-65.55","3.16666666666667",NA,"Mammals of Amazonia. Volume I : General introduction and primates DA CRUZ LIMA, Eladio",NA,NA,NA,"Territorio Federal Amazonas",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Atabapo"
"110","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63864","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Venezuela","Tamatama Río Orinoco","-65.8333333333333","3.15",NA,"Mammals of the Neotropics EISENBERG, John F.",NA,NA,NA,"Territorio Federal Amazonas",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Atabapo"
"111","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63865","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus",NA,NA,NA,NA,"Venezuela","Desembocadura Río Casiquiare Río Negro","-67.1116666666667","2.00194444444444",NA,"Mammals of Amazonia. Volume I : General introduction and primates DA CRUZ LIMA, Eladio",NA,NA,NA,"Territorio Federal Amazonas",NA,"1",NA,NA,NA,NA,NA,NA,NA,"Casiquiare"
"112","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63868","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Aotus","trivirgatus","Aotus trivirgatus vosciferans",NA,NA,NA,NA,"Venezuela","Cerro Avispa","-65.35","1.1",NA,"Mammals of the Neotropics EISENBERG, John F.",NA,NA,NA,"Territorio Federal Amazonas",NA,"1",NA,NA,NA,NA,"vosciferans",NA,NA,"Río Negro"
