"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","sex","occurrenceRemarks","year","month","day","stateProvince","preparationType","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","previousCatalogNumber","typeStatus","county"
"11","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406404","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","16739","South America","Venezuela","Boca Mavaca, 84 Km SSE Esmeralda, 7 Km Up Rio Mavaca","-65.23","2.45",NA,NA,"1967","3","7","Amazonas","Skin; Skull","1","065 14 -- W","02 27 -- N","138.0",NA,NA,NA,NA,NA
"12","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406405","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","16771","South America","Venezuela","Boca Mavaca, 84 Km SSE Esmeralda, 10 Km Up Rio Mavaca","-65.25","2.43",NA,NA,"1967","3","10","Amazonas","Skin; Skull","1","065 15 -- W","02 26 -- N","138.0",NA,NA,NA,NA,NA
"13","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406547","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","19707","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","6","29","Amazonas","Skin; Skull","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"14","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406548","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","19708","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","6","29","Amazonas","Skin; Skull","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"15","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406551","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","19965","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","5","Amazonas","Skin; Skull","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"16","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406552","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","19989","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","5","Amazonas","Skin; Skull","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"17","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406553","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","25690","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.22","5.3",NA,NA,"1967","7","10","Amazonas","Skin; Skull","1","066 13 -- W","05 18 -- N","155.0",NA,NA,NA,NA,NA
"18","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406554","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","26214","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.27","5.13",NA,NA,"1967","7","12","Amazonas","Skin; Skull","1","06616--W","0508--N","155.0",NA,NA,NA,NA,NA
"19","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406555","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","26222","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.27","5.13",NA,NA,"1967","7","12","Amazonas","Skin; Skull","1","06616--W","0508--N","155.0",NA,NA,NA,NA,NA
"20","2021-07-18 22:00:02-03","USNM","US-ANIMALIA","406556","PreservedSpecimen","Animalia","Chordata","Mammalia","Primates","Aotidae","Aotus","trivirgatus","Aotus trivirgatus",NA,"Smithsonian Venezuelan Project","26230","South America","Venezuela","San Juan, 163 Km ESE Pto. Ayacucho, Rio Manapiare","-66.27","5.13",NA,NA,"1967","7","12","Amazonas","Skin; Skull","1","06616--W","0508--N","155.0",NA,NA,NA,NA,NA
