"","starting_range","ending_range","average_n_events","SD","transition_type"
"4932","CD","C","0.43","0.498","vicariance or subset sympatry or extinction"
"8984","GI","G","0.42","0.496","vicariance or subset sympatry or extinction"
"12853","ADG","D","0.42","0.572","vicariance or subset sympatry or extinction"
"9913","ABC","ABC","0.41","0.78","wide sympatry or subset sympatry"
"187","A","J","0.4","0.532","founder event speciation or dispersal and extinction"
"233","A","ABC","0.39","0.584","dispersal"
"3614","BC","BCE","0.38","0.488","dispersal"
"13063","ADH","DH","0.38","0.488","vicariance or subset sympatry or extinction"
"16027","AIJ","J","0.38","0.488","vicariance or subset sympatry or extinction"
"13099","ADH","ADH","0.37","0.706","wide sympatry or subset sympatry"
"16035","AIJ","AI","0.37","0.485","vicariance or subset sympatry or extinction"
"2346","AD","ABD","0.36","0.542","dispersal"
"2656","AF","AF","0.36","0.718","wide sympatry or subset sympatry"
"15400","AGI","AGI","0.36","0.916","wide sympatry or subset sympatry"
"16108","AIJ","AIJ","0.36","0.811","wide sympatry or subset sympatry"
"1994","AB","ABD","0.35","0.575","dispersal"
"1636","I","GI","0.34","0.476","dispersal"
"11278","ACD","AD","0.34","0.59","vicariance or subset sympatry or extinction"
"557","C","CD","0.33","0.473","dispersal"
"11268","ACD","C","0.33","0.637","vicariance or subset sympatry or extinction"
"15320","AGI","G","0.3","0.461","vicariance or subset sympatry or extinction"
"12865","ADG","AG","0.29","0.478","vicariance or subset sympatry or extinction"
"15331","AGI","AI","0.29","0.456","vicariance or subset sympatry or extinction"
"3001","AH","H","0.28","0.451","vicariance or subset sympatry or extinction"
"3541","BC","BC","0.27","0.548","wide sympatry or subset sympatry"
"15314","AGI","A","0.27","0.679","vicariance or subset sympatry or extinction"
"380","B","BJ","0.26","0.441","dispersal"
"743","D","DH","0.26","0.441","dispersal"
"1447","H","DH","0.26","0.441","dispersal"
"2169","AC","ABC","0.26","0.463","dispersal"
"3364","AJ","AJ","0.26","0.676","wide sympatry or subset sympatry"
"13276","ADI","ADI","0.26","0.787","wide sympatry or subset sympatry"
"16018","AIJ","A","0.26","0.848","vicariance or subset sympatry or extinction"
"3010","AH","AH","0.25","0.52","wide sympatry or subset sympatry"
"9868","ABC","AB","0.25","0.479","vicariance or subset sympatry or extinction"
"10090","ABD","ABD","0.25","0.5","wide sympatry or subset sympatry"
"181","A","D","0.24","0.474","founder event speciation or dispersal and extinction"
"196","A","AJ","0.24","0.474","dispersal"
"241","A","ACD","0.24","0.495","dispersal"
"886","E","E","0.24","0.653","in situ speciation"
"10391","ABF","F","0.24","0.429","vicariance or subset sympatry or extinction"
"10396","ABF","AB","0.24","0.429","vicariance or subset sympatry or extinction"
"264","A","AGI","0.23","0.423","dispersal"
"268","A","AIJ","0.23","0.423","dispersal"
"2362","AD","ADG","0.23","0.446","dispersal"
"3966","BE","BCE","0.23","0.468","dispersal"
"8103","FG","F","0.23","0.423","vicariance or subset sympatry or extinction"
"180","A","C","0.22","0.462","founder event speciation or dispersal and extinction"
"3355","AJ","J","0.22","0.462","vicariance or subset sympatry or extinction"
"14479","AFG","FG","0.22","0.416","vicariance or subset sympatry or extinction"
"15322","AGI","I","0.22","0.561","vicariance or subset sympatry or extinction"
"974","E","BCE","0.21","0.409","dispersal"
"2899","AG","AFG","0.21","0.456","dispersal"
"8143","FG","FG","0.21","0.409","wide sympatry or subset sympatry"
"10214","ABE","E","0.21","0.409","vicariance or subset sympatry or extinction"
"13202","ADI","A","0.21","0.556","vicariance or subset sympatry or extinction"
"2178","AC","ACE","0.2","0.426","dispersal"
"1249","G","AG","0.19","0.419","dispersal"
"1788","J","BJ","0.19","0.394","dispersal"
"6165","DE","D","0.19","0.394","vicariance or subset sympatry or extinction"
"10034","ABD","A","0.19","0.465","vicariance or subset sympatry or extinction"
"10387","ABF","B","0.19","0.443","vicariance or subset sympatry or extinction"
"11506","ACE","ACE","0.19","0.486","wide sympatry or subset sympatry"
"179","A","B","0.18","0.435","founder event speciation or dispersal and extinction"
"251","A","ADH","0.18","0.386","dispersal"
"1586","I","A","0.18","0.411","founder event speciation or dispersal and extinction"
"3523","BC","B","0.18","0.386","vicariance or subset sympatry or extinction"
"6166","DE","E","0.18","0.386","vicariance or subset sympatry or extinction"
"10210","ABE","A","0.18","0.386","vicariance or subset sympatry or extinction"
"11623","ACF","F","0.18","0.386","vicariance or subset sympatry or extinction"
"11629","ACF","AC","0.18","0.386","vicariance or subset sympatry or extinction"
"13559","AEF","F","0.18","0.386","vicariance or subset sympatry or extinction"
"10231","ABE","BE","0.17","0.378","vicariance or subset sympatry or extinction"
"13567","AEF","AE","0.17","0.378","vicariance or subset sympatry or extinction"
"16026","AIJ","I","0.17","0.378","vicariance or subset sympatry or extinction"
"1993","AB","ABC","0.16","0.368","dispersal"
"9691","IJ","J","0.16","0.465","vicariance or subset sympatry or extinction"
"11444","ACE","C","0.16","0.42","vicariance or subset sympatry or extinction"
"12502","ADE","E","0.16","0.465","vicariance or subset sympatry or extinction"
"235","A","ABE","0.15","0.386","dispersal"
"236","A","ABF","0.15","0.359","dispersal"
"2361","AD","ADF","0.15","0.386","dispersal"
"12214","ACI","ACI","0.15","0.52","wide sympatry or subset sympatry"
"12510","ADE","AD","0.15","0.359","vicariance or subset sympatry or extinction"
"14440","AFG","G","0.15","0.359","vicariance or subset sympatry or extinction"
"916","E","DE","0.14","0.349","dispersal"
"1595","I","J","0.14","0.349","founder event speciation or dispersal and extinction"
"2177","AC","ACD","0.13","0.367","dispersal"
"10444","ABF","ABF","0.13","0.393","wide sympatry or subset sympatry"
"13210","ADI","I","0.13","0.506","vicariance or subset sympatry or extinction"
"446","B","BCE","0.12","0.327","dispersal"
"533","C","D","0.12","0.327","founder event speciation or dispersal and extinction"
"1240","G","G","0.12","0.477","in situ speciation"
"1996","AB","ABF","0.12","0.327","dispersal"
"3260","AI","AIJ","0.12","0.327","dispersal"
"9690","IJ","I","0.12","0.383","vicariance or subset sympatry or extinction"
"10220","ABE","AB","0.12","0.327","vicariance or subset sympatry or extinction"
"12146","ACI","A","0.12","0.433","vicariance or subset sympatry or extinction"
"12154","ACI","I","0.12","0.477","vicariance or subset sympatry or extinction"
"12568","ADE","ADE","0.12","0.433","wide sympatry or subset sympatry"
"13214","ADI","AD","0.12","0.327","vicariance or subset sympatry or extinction"
"14971","AFJ","J","0.12","0.327","vicariance or subset sympatry or extinction"
"14976","AFJ","AF","0.12","0.327","vicariance or subset sympatry or extinction"
"15329","AGI","AG","0.12","0.327","vicariance or subset sympatry or extinction"
"243","A","ACF","0.11","0.314","dispersal"
"373","B","BC","0.11","0.345","dispersal"
"11099","ABJ","J","0.11","0.314","vicariance or subset sympatry or extinction"
"11329","ACD","ACD","0.11","0.345","wide sympatry or subset sympatry"
"186","A","I","0.1","0.302","founder event speciation or dispersal and extinction"
"240","A","ABJ","0.1","0.302","dispersal"
"534","C","E","0.1","0.302","founder event speciation or dispersal and extinction"
"1995","AB","ABE","0.1","0.302","dispersal"
"2363","AD","ADH","0.1","0.302","dispersal"
"3256","AI","AGI","0.1","0.302","dispersal"
"6869","DI","D","0.1","0.302","vicariance or subset sympatry or extinction"
"9859","ABC","B","0.1","0.302","vicariance or subset sympatry or extinction"
"10267","ABE","ABE","0.1","0.302","wide sympatry or subset sympatry"
"11100","ABJ","AB","0.1","0.302","vicariance or subset sympatry or extinction"
"11266","ACD","A","0.1","0.362","vicariance or subset sympatry or extinction"
"21125","CDE","D","0.1","0.302","vicariance or subset sympatry or extinction"
"21150","CDE","CE","0.1","0.302","vicariance or subset sympatry or extinction"
"244","A","ACG","0.09","0.321","dispersal"
"254","A","AEF","0.09","0.288","dispersal"
"262","A","AFJ","0.09","0.288","dispersal"
"733","D","CD","0.09","0.288","dispersal"
"1640","I","IJ","0.09","0.288","dispersal"
"2530","AE","ACE","0.09","0.288","dispersal"
"3067","AH","ADH","0.09","0.288","dispersal"
"9736","IJ","IJ","0.09","0.288","wide sympatry or subset sympatry"
"9869","ABC","AC","0.09","0.288","vicariance or subset sympatry or extinction"
"11269","ACD","D","0.09","0.321","vicariance or subset sympatry or extinction"
"11277","ACD","AC","0.09","0.321","vicariance or subset sympatry or extinction"
"12501","ADE","D","0.09","0.288","vicariance or subset sympatry or extinction"
"215","A","DH","0.08","0.273","dispersal and extinction"
"885","E","D","0.08","0.273","founder event speciation or dispersal and extinction"
"2536","AE","ADE","0.08","0.273","dispersal"
"2713","AF","ADF","0.08","0.273","dispersal"
"2723","AF","AFG","0.08","0.273","dispersal"
"2904","AG","AGI","0.08","0.273","dispersal"
"6874","DI","I","0.08","0.307","vicariance or subset sympatry or extinction"
"10037","ABD","D","0.08","0.273","vicariance or subset sympatry or extinction"
"11455","ACE","AE","0.08","0.273","vicariance or subset sympatry or extinction"
"11800","ACG","G","0.08","0.273","vicariance or subset sympatry or extinction"
"11805","ACG","AC","0.08","0.273","vicariance or subset sympatry or extinction"
"15754","AHI","AHI","0.08","0.394","wide sympatry or subset sympatry"
"248","A","ADE","0.07","0.256","dispersal"
"252","A","ADI","0.07","0.256","dispersal"
"541","C","AC","0.07","0.293","dispersal"
"2353","AD","ACD","0.07","0.256","dispersal"
"3244","AI","ADI","0.07","0.256","dispersal"
"11090","ABJ","A","0.07","0.355","vicariance or subset sympatry or extinction"
"12157","ACI","AC","0.07","0.293","vicariance or subset sympatry or extinction"
"13240","ADI","DI","0.07","0.256","vicariance or subset sympatry or extinction"
"14161","AEI","AEI","0.07","0.455","wide sympatry or subset sympatry"
"14962","AFJ","A","0.07","0.432","vicariance or subset sympatry or extinction"
"16398","BCE","CE","0.07","0.256","vicariance or subset sympatry or extinction"
"204","A","BJ","0.06","0.239","dispersal and extinction"
"253","A","ADJ","0.06","0.239","dispersal"
"1306","G","ADG","0.06","0.239","dispersal"
"1624","I","DI","0.06","0.239","dispersal"
"2000","AB","ABJ","0.06","0.239","dispersal"
"2305","AD","AG","0.06","0.239","dispersal and extinction"
"2360","AD","ADE","0.06","0.239","dispersal"
"2523","AE","ABE","0.06","0.239","dispersal"
"2707","AF","ACF","0.06","0.239","dispersal"
"10400","ABF","AF","0.06","0.239","vicariance or subset sympatry or extinction"
"11152","ABJ","ABJ","0.06","0.278","wide sympatry or subset sympatry"
"11446","ACE","E","0.06","0.239","vicariance or subset sympatry or extinction"
"11453","ACE","AC","0.06","0.239","vicariance or subset sympatry or extinction"
"13205","ADI","D","0.06","0.239","vicariance or subset sympatry or extinction"
"13730","AEG","A","0.06","0.422","vicariance or subset sympatry or extinction"
"14082","AEI","A","0.06","0.371","vicariance or subset sympatry or extinction"
"15046","AFJ","AFJ","0.06","0.371","wide sympatry or subset sympatry"
"15666","AHI","A","0.06","0.278","vicariance or subset sympatry or extinction"
"16072","AIJ","IJ","0.06","0.239","vicariance or subset sympatry or extinction"
"16391","BCE","BE","0.06","0.239","vicariance or subset sympatry or extinction"
