"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","sex","occurrenceRemarks","preparationType","individualCount","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","previousCatalogNumber"
"42","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","844","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- AC-10- km 35- ramal lado esquerdo (6 km)",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"43","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","416","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","ESEC do Rio Acre; Rio Acre","-70.25","-11.0333333333333",NA,NA,NA,"Livro: The status of conservation areas in the Brasilian Amazon - Rylands A.B. 1991",NA,NA,"Assis Brasil","-70.25","-11.0333333333333",NA,NA,NA
"44","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","837","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-364- km 77- Fazenda Aquarius- lado direito",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"45","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","838","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-364- km 83- ramal Oco do Mundo (12 km)",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"46","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","860","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Terra Indígena; Alto Juruá- Rio Breu",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"47","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","827","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Plácido de Castro","-67.1444444444444","-10.2861111111111",NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,"Plácido de Castro","-67.1444444444444","-10.2861111111111",NA,NA,NA
"48","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","835","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-364- km 60- lado esquerdo",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
"49","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","14","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Universidade Federal do Acre/Parque Zoobotânico; Rio Acre","-67.8688888888889","-9.94166666666667",NA,NA,NA,"Artigo: Ecology and social relations of the black-chinned emperor tamarin - Calegaro-Marques C. - Bicca-Marques J.C. 1994",NA,NA,"Rio Branco","-67.8688888888889","-9.94166666666667",NA,NA,NA
"50","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","622","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Floresta Estadual do Antimary; Rio Antimari","-68.25","-9.33333333333333",NA,NA,NA,"Dissertação: Caça de subsistência: sustentabilidade e padrões de uso entre seringueiros ribeirinhos e não-ribeiinhos do estado do Acre - Calouro A.M. 1995",NA,NA,"Bujari","-68.25","-9.33333333333333",NA,NA,NA
"51","2010-03-08 13:52:53-03","SEMA-Acre","ZEE_MAM","842","S","Animalia",NA,"Mammalia","Primates","Cebidae","Aotus","nigriceps","Aotus nigriceps",NA,NA,NA,NA,NA,NA,NA,"Brasil","Acre","Propriedade rural- BR-317- km 80- ramal lado direito (6 km)",NA,NA,NA,NA,NA,"Monografia: Distribuição de primatas não-humanos no Estado do Acre e vizinhanças: um estudo preliminar - Fernandes M.C.A.G. 1990",NA,NA,NA,"0.0","0.0",NA,NA,NA
