"","starting_range","ending_range","average_n_events","SD","transition_type"
"10210","ABE","A","0.28","0.552","vicariance or subset sympatry or extinction"
"1447","H","DH","0.27","0.446","dispersal"
"13559","AEF","F","0.27","0.468","vicariance or subset sympatry or extinction"
"180","A","C","0.26","0.441","founder event speciation or dispersal and extinction"
"235","A","ABE","0.26","0.525","dispersal"
"264","A","AGI","0.26","0.463","dispersal"
"1249","G","AG","0.26","0.441","dispersal"
"1993","AB","ABC","0.26","0.505","dispersal"
"10214","ABE","E","0.26","0.441","vicariance or subset sympatry or extinction"
"13567","AEF","AE","0.26","0.441","vicariance or subset sympatry or extinction"
"9868","ABC","AB","0.25","0.479","vicariance or subset sympatry or extinction"
"13276","ADI","ADI","0.25","0.657","wide sympatry or subset sympatry"
"10231","ABE","BE","0.24","0.495","vicariance or subset sympatry or extinction"
"11329","ACD","ACD","0.24","0.683","wide sympatry or subset sympatry"
"16027","AIJ","J","0.24","0.429","vicariance or subset sympatry or extinction"
"16035","AIJ","AI","0.24","0.429","vicariance or subset sympatry or extinction"
"380","B","BJ","0.23","0.423","dispersal"
"6165","DE","D","0.23","0.468","vicariance or subset sympatry or extinction"
"10391","ABF","F","0.23","0.446","vicariance or subset sympatry or extinction"
"12502","ADE","E","0.23","0.584","vicariance or subset sympatry or extinction"
"251","A","ADH","0.22","0.416","dispersal"
"6166","DE","E","0.22","0.416","vicariance or subset sympatry or extinction"
"10396","ABF","AB","0.22","0.416","vicariance or subset sympatry or extinction"
"557","C","CD","0.21","0.409","dispersal"
"12865","ADG","AG","0.21","0.433","vicariance or subset sympatry or extinction"
"11506","ACE","ACE","0.2","0.569","wide sympatry or subset sympatry"
"10090","ABD","ABD","0.19","0.526","wide sympatry or subset sympatry"
"12214","ACI","ACI","0.19","0.8","wide sympatry or subset sympatry"
"13202","ADI","A","0.19","0.526","vicariance or subset sympatry or extinction"
"10387","ABF","B","0.18","0.411","vicariance or subset sympatry or extinction"
"12510","ADE","AD","0.18","0.458","vicariance or subset sympatry or extinction"
"204","A","BJ","0.17","0.378","dispersal and extinction"
"254","A","AEF","0.17","0.378","dispersal"
"916","E","DE","0.17","0.378","dispersal"
"10220","ABE","AB","0.17","0.378","vicariance or subset sympatry or extinction"
"11623","ACF","F","0.17","0.378","vicariance or subset sympatry or extinction"
"11629","ACF","AC","0.17","0.378","vicariance or subset sympatry or extinction"
"16108","AIJ","AIJ","0.17","0.62","wide sympatry or subset sympatry"
"179","A","B","0.16","0.368","founder event speciation or dispersal and extinction"
"196","A","AJ","0.16","0.368","dispersal"
"236","A","ABF","0.16","0.368","dispersal"
"240","A","ABJ","0.16","0.368","dispersal"
"355","B","B","0.16","0.615","in situ speciation"
"12154","ACI","I","0.16","0.545","vicariance or subset sympatry or extinction"
"12501","ADE","D","0.16","0.395","vicariance or subset sympatry or extinction"
"15322","AGI","I","0.16","0.42","vicariance or subset sympatry or extinction"
"1586","I","A","0.15","0.411","founder event speciation or dispersal and extinction"
"2177","AC","ACD","0.15","0.386","dispersal"
"3355","AJ","J","0.15","0.359","vicariance or subset sympatry or extinction"
"3523","BC","B","0.15","0.386","vicariance or subset sympatry or extinction"
"10034","ABD","A","0.15","0.458","vicariance or subset sympatry or extinction"
"12568","ADE","ADE","0.15","0.5","wide sympatry or subset sympatry"
"13214","ADI","AD","0.15","0.359","vicariance or subset sympatry or extinction"
"16018","AIJ","A","0.15","0.539","vicariance or subset sympatry or extinction"
"1788","J","BJ","0.14","0.349","dispersal"
"2713","AF","ADF","0.14","0.377","dispersal"
"6869","DI","D","0.14","0.403","vicariance or subset sympatry or extinction"
"10267","ABE","ABE","0.14","0.377","wide sympatry or subset sympatry"
"11266","ACD","A","0.14","0.493","vicariance or subset sympatry or extinction"
"446","B","BCE","0.13","0.338","dispersal"
"1996","AB","ABF","0.13","0.338","dispersal"
"2178","AC","ACE","0.13","0.393","dispersal"
"2362","AD","ADG","0.13","0.338","dispersal"
"2723","AF","AFG","0.13","0.338","dispersal"
"8103","FG","F","0.13","0.338","vicariance or subset sympatry or extinction"
"8143","FG","FG","0.13","0.338","wide sympatry or subset sympatry"
"9690","IJ","I","0.13","0.442","vicariance or subset sympatry or extinction"
"11444","ACE","C","0.13","0.393","vicariance or subset sympatry or extinction"
"11446","ACE","E","0.13","0.393","vicariance or subset sympatry or extinction"
"14440","AFG","G","0.13","0.338","vicariance or subset sympatry or extinction"
"21125","CDE","D","0.13","0.338","vicariance or subset sympatry or extinction"
"21150","CDE","CE","0.13","0.338","vicariance or subset sympatry or extinction"
"237","A","ABG","0.12","0.327","dispersal"
"243","A","ACF","0.12","0.327","dispersal"
"1624","I","DI","0.12","0.356","dispersal"
"2361","AD","ADF","0.12","0.327","dispersal"
"2530","AE","ACE","0.12","0.356","dispersal"
"10400","ABF","AF","0.12","0.356","vicariance or subset sympatry or extinction"
"10563","ABG","B","0.12","0.327","vicariance or subset sympatry or extinction"
"11099","ABJ","J","0.12","0.327","vicariance or subset sympatry or extinction"
"11100","ABJ","AB","0.12","0.327","vicariance or subset sympatry or extinction"
"12146","ACI","A","0.12","0.477","vicariance or subset sympatry or extinction"
"13210","ADI","I","0.12","0.409","vicariance or subset sympatry or extinction"
"248","A","ADE","0.11","0.345","dispersal"
"533","C","D","0.11","0.314","founder event speciation or dispersal and extinction"
"2536","AE","ADE","0.11","0.314","dispersal"
"3895","BE","BE","0.11","0.373","wide sympatry or subset sympatry"
"10577","ABG","AG","0.11","0.314","vicariance or subset sympatry or extinction"
"268","A","AIJ","0.1","0.302","dispersal"
"885","E","D","0.1","0.302","founder event speciation or dispersal and extinction"
"2523","AE","ABE","0.1","0.302","dispersal"
"3256","AI","AGI","0.1","0.302","dispersal"
"3878","BE","E","0.1","0.302","vicariance or subset sympatry or extinction"
"6874","DI","I","0.1","0.362","vicariance or subset sympatry or extinction"
"9691","IJ","J","0.1","0.302","vicariance or subset sympatry or extinction"
"3067","AH","ADH","0.09","0.288","dispersal"
"11269","ACD","D","0.09","0.288","vicariance or subset sympatry or extinction"
"11453","ACE","AC","0.09","0.321","vicariance or subset sympatry or extinction"
"12157","ACI","AC","0.09","0.288","vicariance or subset sympatry or extinction"
"1306","G","ADG","0.08","0.273","dispersal"
"1660","I","ADI","0.08","0.273","dispersal"
"3260","AI","AIJ","0.08","0.273","dispersal"
"3875","BE","B","0.08","0.273","vicariance or subset sympatry or extinction"
"10444","ABF","ABF","0.08","0.307","wide sympatry or subset sympatry"
"16398","BCE","CE","0.08","0.273","vicariance or subset sympatry or extinction"
"373","B","BC","0.07","0.256","dispersal"
"2169","AC","ABC","0.07","0.293","dispersal"
"2363","AD","ADH","0.07","0.256","dispersal"
"2718","AF","AEF","0.07","0.256","dispersal"
"3701","BD","D","0.07","0.293","vicariance or subset sympatry or extinction"
"6904","DI","DI","0.07","0.256","wide sympatry or subset sympatry"
"10037","ABD","D","0.07","0.293","vicariance or subset sympatry or extinction"
"11090","ABJ","A","0.07","0.355","vicariance or subset sympatry or extinction"
"12511","ADE","AE","0.07","0.256","vicariance or subset sympatry or extinction"
"183","A","F","0.06","0.239","founder event speciation or dispersal and extinction"
"184","A","G","0.06","0.239","founder event speciation or dispersal and extinction"
"363","B","J","0.06","0.239","founder event speciation or dispersal and extinction"
"733","D","CD","0.06","0.239","dispersal"
"1001","E","CDE","0.06","0.239","dispersal"
"1240","G","G","0.06","0.343","in situ speciation"
"1995","AB","ABE","0.06","0.239","dispersal"
"2142","AC","CE","0.06","0.239","dispersal and extinction"
"2353","AD","ACD","0.06","0.239","dispersal"
"3244","AI","ADI","0.06","0.239","dispersal"
"3718","BD","BD","0.06","0.239","wide sympatry or subset sympatry"
"9859","ABC","B","0.06","0.239","vicariance or subset sympatry or extinction"
"9869","ABC","AC","0.06","0.239","vicariance or subset sympatry or extinction"
"11455","ACE","AE","0.06","0.239","vicariance or subset sympatry or extinction"
"13205","ADI","D","0.06","0.239","vicariance or subset sympatry or extinction"
"14786","AFI","A","0.06","0.371","vicariance or subset sympatry or extinction"
"14869","AFI","AFI","0.06","0.371","wide sympatry or subset sympatry"
"15329","AGI","AG","0.06","0.278","vicariance or subset sympatry or extinction"
"16389","BCE","BC","0.06","0.239","vicariance or subset sympatry or extinction"
"16391","BCE","BE","0.06","0.239","vicariance or subset sympatry or extinction"
