"","replicate","BSMreplicate","nodeStart","nodeEnd","nodeEndLabel","ageStart","ageEnd","rangeAncestor","rangeStart","rangeEnd","transitionCladog","transitionCladogType","transitionAnag","transitionAnagType","transitionTime","nodeOfInterest","BGBeventTypeClado","BGBeventTypeAnag"
"6225",3,8,123,124,"inNode124",17.96,13.79,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6226",3,8,124,125,"inNode125",13.79,6.9,"A","A","ABE","A -> A","in_situ_speciation","A -> ABE","dispersal","12.43","","vicariance (v)","d"
"6227",3,8,125,126,"inNode126",6.9,6,"ABE","AB","AB","ABE -> AB","allopatry","–","–","–","","subset (s)",""
"6228",3,8,126,127,"inNode127",6,2.68,"AB","AB","AD","AB -> AB","subset_sympatry","AB -> AD","dispersal_and_extinction","5.79","","subset (s)","d"
"6229",3,8,127,128,"inNode128",2.68,1.65,"AD","AD","AD","AD -> AD","subset_sympatry","–","–","–","","vicariance (v)",""
"6230",3,8,128,129,"inNode129",1.65,0.77,"AD","A","A","AD -> A","allopatry","–","–","–","","sympatry (y)",""
"6231",3,8,125,130,"inNode130",6.9,4.66,"ABE","E","BCE","ABE -> E","allopatry","E -> BCE","dispersal","6.23","","subset (s)","d"
"6232",3,8,130,131,"inNode131",4.66,1.18,"BCE","BCE","BCE","BCE -> BCE","subset_sympatry","–","–","–","","subset (s)",""
"6233",3,8,131,132,"inNode132",1.18,0.97,"BCE","BCE","BCE","BCE -> BCE","subset_sympatry","–","–","–","","subset (s)",""
"6234",3,8,132,133,"inNode133",0.97,0.43,"BCE","BCE","BCE","BCE -> BCE","subset_sympatry","–","–","–","","subset (s)",""
"6235",3,8,123,134,"inNode134",17.96,12.5,"A","A","AE","A -> A","in_situ_speciation","A -> AE","dispersal","16.62","","vicariance (v)","d"
"6236",3,8,134,135,"inNode135",12.5,0.87,"AE","E","CE","AE -> E","allopatry","E -> CE","dispersal","2.58","","vicariance (v)","d"
"6237",3,8,135,136,"inNode136",0.87,0.01,"CE","C","C","CE -> C","allopatry","–","–","–","","sympatry (y)",""
"6238",3,8,122,137,"inNode137",20.87,10.2,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6239",3,8,137,138,"inNode138",10.2,8.42,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6240",3,8,138,139,"inNode139",8.42,7.48,"A","A","AD","A -> A","in_situ_speciation","A -> AD","dispersal","8","","vicariance (v)","d"
"6241",3,8,139,140,"inNode140",7.48,5.44,"AD","D","D","AD -> D","allopatry","–","–","–","","sympatry (y)",""
"6242",3,8,140,141,"inNode141",5.44,3.72,"D","D","D","D -> D","in_situ_speciation","–","–","–","","sympatry (y)",""
"6243",3,8,139,142,"inNode142",7.48,1.28,"AD","A","AG","AD -> A","allopatry","A -> AG","dispersal","1.83","","subset (s)","d"
"6244",3,8,138,143,"inNode143",8.42,5.76,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6245",3,8,143,144,"inNode144",5.76,2.4,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6246",3,8,137,145,"inNode145",10.2,6.08,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6247",3,8,145,146,"inNode146",6.08,3.47,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6248",3,8,146,147,"inNode147",3.47,3.39,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6249",3,8,121,148,"inNode148",24.99,21.95,"A","A","AI","A -> A","in_situ_speciation","A -> AI","dispersal","24.64","","vicariance (v)","d"
"6250",3,8,148,149,"inNode149",21.95,12.51,"AI","A","A","AI -> A","allopatry","–","–","–","","sympatry (y)",""
"6251",3,8,149,150,"inNode150",12.51,5.85,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6252",3,8,150,151,"inNode151",5.85,3.43,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6253",3,8,151,152,"inNode152",3.43,3.21,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6254",3,8,152,153,"inNode153",3.21,1.5,"A","A","AD","A -> A","in_situ_speciation","A -> AD","dispersal","2.41","","subset (s)","d"
"6255",3,8,150,154,"inNode154",5.85,4.24,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6256",3,8,154,155,"inNode155",4.24,2.84,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6257",3,8,120,156,"inNode156",25.95,20.94,"A","A","AG","A -> A","in_situ_speciation","A -> AG","dispersal","23.13","","vicariance (v)","d"
"6258",3,8,156,157,"inNode157",20.94,20.78,"AG","A","A","AG -> A","allopatry","–","–","–","","sympatry (y)",""
"6259",3,8,157,158,"inNode158",20.78,20.09,"A","A","AI","A -> A","in_situ_speciation","A -> AI","dispersal","20.56","","subset (s)","d"
"6260",3,8,158,159,"inNode159",20.09,19.2,"AI","AI","AI","AI -> AI","subset_sympatry","–","–","–","","subset (s)",""
"6261",3,8,159,160,"inNode160",19.2,16.51,"AI","AI","AI","AI -> AI","subset_sympatry","–","–","–","","vicariance (v)",""
"6262",3,8,160,161,"inNode161",16.51,7.65,"AI","A","A","AI -> A","allopatry","–","–","–","","sympatry (y)",""
"6263",3,8,161,162,"inNode162",7.65,6.58,"A","A","A","A -> A","in_situ_speciation","–","–","–","","sympatry (y)",""
"6264",3,8,162,163,"inNode163",6.58,3.6,"A","A","ACE","A -> A","in_situ_speciation","A -> ACE","dispersal","6.3","","vicariance (v)","d"
"6265",3,8,163,164,"inNode164",3.6,0.93,"ACE","A","ABD","ACE -> A","allopatry","A -> ABD","dispersal","2.2","","vicariance (v)","d"
"6266",3,8,163,165,"inNode165",3.6,2.59,"ACE","CE","CE","ACE -> CE","allopatry","–","–","–","","vicariance (v)",""
