"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","individualCount","occurrenceRemarks","stateProvince","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","sex","previousCatalogNumber","county","infraspecificEpithet"
"25","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4837","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Vaupés",NA,"1","Lista actualizada de los mamíferos de Colombia : Anotaciones sobre su Distribución CUERVO DIAZ, Alicia;HERNANDEZ CAMACHO, Jorge I.;CADENA G., Alberto","Vaupés","-70.5","1",NA,NA,NA,NA,NA,"Mitú",NA
"26","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4833","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Norte de Caquetá y al oriente del Río Yarí",NA,"1","Lista actualizada de los mamíferos de Colombia : Anotaciones sobre su Distribución CUERVO DIAZ, Alicia;HERNANDEZ CAMACHO, Jorge I.;CADENA G., Alberto","Caquetá","-72.5","1",NA,NA,NA,NA,NA,"San Vicente del Caguán",NA
"27","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4834","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Serrania De La Macarena",NA,"1","Lista actualizada de los mamíferos de Colombia : Anotaciones sobre su Distribución CUERVO DIAZ, Alicia;HERNANDEZ CAMACHO, Jorge I.;CADENA G., Alberto","Meta","-73.9166666666667","2.75",NA,NA,NA,NA,NA,"Vista Hermosa",NA
"28","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4835","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Guainía",NA,"1","Lista actualizada de los mamíferos de Colombia : Anotaciones sobre su Distribución CUERVO DIAZ, Alicia;HERNANDEZ CAMACHO, Jorge I.;CADENA G., Alberto","Guainía","-69","2.5",NA,NA,NA,NA,NA,"Puerto Colombia",NA
"29","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","4836","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Guaviare",NA,"1","Lista actualizada de los mamíferos de Colombia : Anotaciones sobre su Distribución CUERVO DIAZ, Alicia;HERNANDEZ CAMACHO, Jorge I.;CADENA G., Alberto","Guaviare","-72","2",NA,NA,NA,NA,NA,"El Retorno",NA
"30","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","5412","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Colombia","Caño Ima Serranía De Naquen",NA,"1","Amazon 1992. Final Report A Cambridge-RHBNC Expedition to Colombia KINGSTON, Tigga;BARLOW, Kate;NEWMAN, Jonathan;et al.","Guainía","-68.19","2.16666666666667",NA,NA,NA,NA,NA,"Puerto Colombia",NA
"31","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63877","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Venezuela","Río Casiquiare afluente Río Negro",NA,"1","Mammals of Amazonia. Volume I : General introduction and primates DA CRUZ LIMA, Eladio","Territorio Federal Amazonas","-67","2.03333333333333",NA,NA,NA,NA,NA,"Casiquiare",NA
"32","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63879","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Venezuela","Piedra Del Caribe Río Casiquiare",NA,"1","Mammals of the Neotropics EISENBERG, John F.","Territorio Federal Amazonas","-66.35","2.65",NA,NA,NA,NA,NA,"Casiquiare",NA
"33","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","63881","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus",NA,NA,NA,NA,NA,NA,"Venezuela","Río Orinoco",NA,"1","Mammals of Amazonia. Volume I : General introduction and primates DA CRUZ LIMA, Eladio","Territorio Federal Amazonas","-66","3.16666666666667",NA,NA,NA,NA,NA,NA,NA
"34","2006-01-12 00:00:00-02","Fundación Puerto Rastrojo <U+0096>- Colômbia","FPR-COLOMBIA","5017","O","Animalia","Chordata","Mammalia","Primates","Cebidae","Cacajao","melanocephalus","Cacajao melanocephalus ovakari",NA,NA,NA,NA,NA,NA,"Colombia","Estación Caparú Lago Taraira Río Apaporis",NA,"1","Apéndices DEFLER, Thomas R.;DEFLER BENNETT, Sara;ARJONA, Beatriz","Vaupés","-69.5","-1.09333333333333",NA,NA,NA,NA,NA,"Taraira","ovakari"
